år;Sthlm;Uppsala;Södmln;Jkpg;Kalmar;Gotlands;Blekinge;Skåne;Örebro;Dalarna;Jämtlands;Västerbtn;Norrbtn
2006;4191;573;459;760;448;78;272;2854;520;477;133;287;298
2007;3478;450;379;653;360;56;244;2547;403;385;115;227;226
2008;2075;295;254;373;220;33;140;1620;253;238;68;155;160
2009;1660;264;189;304;166;25;98;1267;187;172;51;109;112
2010;2049;280;231;409;204;37;124;1459;224;202;53;125;128
2011;2021;250;244;395;205;35;130;1428;224;202;48;126;113
2012;1776;239;196;309;188;34;116;1152;211;166;44;114;110
2013;1993;286;239;350;198;37;120;1311;240;197;47;140;125
2014;2187;316;267;428;221;50;129;1433;262;213;57;158;143
2015;2504;356;302;460;275;60;152;1655;285;246;62;193;157
2016;3045;389;360;533;325;66;187;1890;332;273;74;224;152
2017;3207;395;350;523;322;58;180;1865;318;277;80;225;160
2018;3793;389;366;573;325;57;187;2043;340;306;96;234;147
2019;3740;382;338;565;303;54;180;2271;314;283;77;209;148
2020;1989;181;171;307;136;27;98;1334;147;121;24;78;46
