Nyregistrerade personbilar efter region, drivmedel och månad;
;;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09
01 Stockholms län;bensin;3780;3695;4931;4453;3337;3715;3498
;diesel;4445;4473;4929;4427;2668;3007;2746
;el;797;443;440;602;379;374;751
;elhybrid;355;515;666;729;850;777;838
;laddhybrid;1386;950;917;932;667;858;944
;etanol/etanol flexifuel;9;3;8;2;0;11;14
;gas/gas flexifuel;49;77;195;196;134;212;147
;övriga bränslen;0;0;0;0;1;1;0
03 Uppsala län;bensin;331;382;441;359;337;423;364
;diesel;207;273;265;189;158;242;163
;el;72;39;35;56;30;34;37
;elhybrid;71;103;90;79;74;88;114
;laddhybrid;46;40;30;47;34;43;46
;etanol/etanol flexifuel;0;0;0;0;0;4;17
;gas/gas flexifuel;6;6;11;7;6;15;30
;övriga bränslen;0;0;0;0;0;0;0
04 Södermanlands län;bensin;369;314;359;380;328;380;310
;diesel;193;191;189;193;131;155;115
;el;34;29;19;28;20;15;40
;elhybrid;46;53;62;73;88;92;75
;laddhybrid;27;45;40;39;12;26;31
;etanol/etanol flexifuel;0;0;0;0;0;8;5
;gas/gas flexifuel;1;0;5;12;16;60;12
;övriga bränslen;0;0;0;0;0;0;0
05 Östergötlands län;bensin;567;569;568;610;445;583;519
;diesel;375;365;391;368;241;315;276
;el;83;50;45;50;53;31;74
;elhybrid;95;136;182;114;137;151;144
;laddhybrid;47;31;48;40;23;40;54
;etanol/etanol flexifuel;1;2;4;1;1;27;4
;gas/gas flexifuel;5;6;12;8;2;14;11
;övriga bränslen;0;0;0;1;0;0;0
06 Jönköpings län;bensin;553;575;547;553;445;585;523
;diesel;395;395;359;338;224;260;238
;el;40;52;35;43;26;43;29
;elhybrid;76;80;112;92;91;108;111
;laddhybrid;42;26;38;37;28;30;42
;etanol/etanol flexifuel;0;0;1;0;0;9;5
;gas/gas flexifuel;0;10;6;26;7;55;27
;övriga bränslen;0;0;0;0;0;0;0
07 Kronobergs län;bensin;252;237;234;257;215;266;245
;diesel;146;159;150;116;93;115;110
;el;31;20;15;22;9;13;20
;elhybrid;41;38;35;41;31;47;41
;laddhybrid;17;19;21;23;12;16;19
;etanol/etanol flexifuel;0;0;0;0;0;0;2
;gas/gas flexifuel;15;5;5;25;25;24;13
;övriga bränslen;0;0;0;0;0;0;0
08 Kalmar län;bensin;298;315;317;301;238;365;266
;diesel;197;220;214;171;133;174;179
;el;25;6;16;19;15;7;23
;elhybrid;24;32;41;37;39;67;44
;laddhybrid;20;12;16;16;7;12;11
;etanol/etanol flexifuel;0;0;0;0;0;5;4
;gas/gas flexifuel;54;20;2;25;35;20;22
;övriga bränslen;0;0;0;1;0;0;0
09 Gotlands län;bensin;53;65;65;77;65;55;36
;diesel;11;20;27;30;11;27;13
;el;4;5;8;5;5;5;7
;elhybrid;13;18;16;21;11;10;8
;laddhybrid;1;4;4;6;1;3;2
;etanol/etanol flexifuel;0;0;0;0;0;4;2
;gas/gas flexifuel;0;7;8;4;2;9;0
;övriga bränslen;0;0;0;0;0;0;0
10 Blekinge län;bensin;158;180;189;225;162;197;167
;diesel;104;99;103;76;59;121;86
;el;24;12;18;16;8;13;13
;elhybrid;25;20;20;31;26;35;23
;laddhybrid;8;11;10;15;10;9;8
;etanol/etanol flexifuel;0;0;0;0;1;12;5
;gas/gas flexifuel;7;37;9;11;1;37;13
;övriga bränslen;0;0;1;0;0;0;0
12 Skåne län;bensin;2069;2204;2458;2592;2019;2282;1930
;diesel;1369;1574;1639;1599;1162;1408;1002
;el;302;199;168;262;170;126;263
;elhybrid;294;232;307;354;330;368;334
;laddhybrid;234;219;211;200;179;202;224
;etanol/etanol flexifuel;2;1;0;2;1;41;24
;gas/gas flexifuel;16;33;73;107;50;104;99
;övriga bränslen;1;3;0;2;1;0;2
13 Hallands län;bensin;563;604;556;620;591;615;551
;diesel;229;248;224;216;160;179;151
;el;68;62;42;53;36;34;52
;elhybrid;51;48;66;70;63;93;93
;laddhybrid;29;30;33;25;28;39;32
;etanol/etanol flexifuel;0;0;0;0;1;27;15
;gas/gas flexifuel;3;1;7;28;6;32;22
;övriga bränslen;0;0;0;0;0;0;0
14 Västra Götalands län;bensin;2641;2693;2580;2926;2197;2854;2420
;diesel;1307;2106;1236;1185;892;961;890
;el;352;243;242;309;206;151;271
;elhybrid;454;533;575;507;412;586;530
;laddhybrid;234;176;147;212;173;225;259
;etanol/etanol flexifuel;0;1;0;1;0;20;49
;gas/gas flexifuel;32;51;66;109;52;183;149
;övriga bränslen;0;0;1;0;0;0;1
21 Gävleborgs län;bensin;246;278;290;312;231;340;244
;diesel;248;246;233;233;211;228;188
;el;33;28;23;16;8;27;20
;elhybrid;48;68;98;48;90;94;101
;laddhybrid;25;18;19;9;20;7;18
